collection;deck;question;correct_answer;wrong_answer_1;wrong_answer_2;wrong_answer_3;hint;explanation;level;difficulty;tags;source;cloze_text;accepted_answers;cloze_answers;cloze_word_bank
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels pouvoirs la Commission européenne possède-t-elle dans le contrôle du DSA ?;Ouvrir des enquêtes, imposer des amendes, ordonner des mesures correctrices, accéder aux données internes et coopérer avec des chercheurs agréés;Recevoir seulement les plaintes belges, transmettre aux plateformes et refuser toute mesure correctrice;Créer des droits voisins, fixer la rémunération des auteurs et négocier les licences;Traiter uniquement les signalements individuels sans enquête ni accès aux données;Revois la liste des pouvoirs de contrôle.;La Commission peut enquêter, sanctionner, ordonner des corrections, accéder aux données internes des plateformes et coopérer avec des chercheurs agréés.;3;avancé;dsa|commission|pouvoirs;Chapitre 3 - p. 24;La Commission peut {{ouvrir des enquêtes, imposer des amendes, ordonner des mesures correctrices, accéder aux données internes et coopérer avec des chercheurs agréés}}.;ouvrir des enquêtes, imposer des amendes, ordonner des mesures correctrices, accéder aux données internes et coopérer avec des chercheurs agréés;ouvrir des enquêtes, imposer des amendes, ordonner des mesures correctrices, accéder aux données internes et coopérer avec des chercheurs agréés;ouvrir des enquêtes, imposer des amendes, ordonner des mesures correctrices, accéder aux données internes et coopérer avec des chercheurs agréés|Recevoir seulement les plaintes belges, transmettre aux plateformes et refuser toute mesure correctrice|Créer des droits voisins, fixer la rémunération des auteurs et négocier les licences|Traiter uniquement les signalements individuels sans enquête ni accès aux données
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Sur quelle plateforme la Commission a-t-elle ouvert une enquête liée à l’élection présidentielle roumaine ?;TikTok;X;Telegram;Google Search;-;Le document présente une enquête sur TikTok concernant l’élection présidentielle roumaine de décembre 2024.;1;facile;dsa|commission|tiktok|exemple;Chapitre 3 - p. 25;L’enquête liée à l’élection présidentielle roumaine concernait {{TikTok}}.;TikTok|tiktok;TikTok;TikTok|X|Telegram|Google Search
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel était le contexte de l’enquête sur TikTok en décembre 2024 ?;Des allégations d’influence étrangère lors de l’élection présidentielle roumaine en faveur d’un candidat d’extrême droite;Des soupçons de contrefaçon musicale massive sur une marketplace belge;Une plainte d’un utilisateur contre un faux profil contenant ses données personnelles;Une demande de rémunération de presse contre Google Actualités;Revois le contexte électoral roumain.;Le document explique que des acteurs étrangers auraient utilisé TikTok pour influencer l’élection présidentielle roumaine en faveur d’un candidat d’extrême droite.;3;avancé;dsa|commission|tiktok|elections;Chapitre 3 - p. 25;L’enquête TikTok concernait des allégations d’{{influence étrangère lors de l’élection présidentielle roumaine}}.;influence étrangère lors de l’élection présidentielle roumaine|acteurs étrangers influençant l’élection présidentielle roumaine;influence étrangère lors de l’élection présidentielle roumaine;influence étrangère lors de l’élection présidentielle roumaine|Des soupçons de contrefaçon musicale massive sur une marketplace belge|Une plainte d’un utilisateur contre un faux profil contenant ses données personnelles|Une demande de rémunération de presse contre Google Actualités
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle plateforme a fait l’objet d’une procédure formelle pour manquements présumés en décembre 2023 ?;X, anciennement Twitter;TikTok;Telegram;Amazon Marketplace;-;Le document mentionne une procédure formelle contre X, anciennement Twitter, en décembre 2023.;1;facile;dsa|commission|x|procedure;Chapitre 3 - p. 26;La procédure formelle de décembre 2023 visait {{X, anciennement Twitter}}.;X|Twitter|X, anciennement Twitter;X, anciennement Twitter;X, anciennement Twitter|TikTok|Telegram|Amazon Marketplace
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels problèmes ont motivé la procédure formelle contre X ?;La diffusion de contenus haineux et de désinformation, notamment après les attaques du 7 octobre en Israël;L’absence de droit voisin pour les éditeurs de presse dans Google Actualités;Le défaut de représentant légal de Telegram pour tout le marché européen;Le stockage temporaire de données dans un service de cache technique;Pense aux contenus et à la désinformation.;Le document explique que des préoccupations concernaient les contenus haineux et la désinformation sur X, notamment après les attaques du 7 octobre en Israël.;3;avancé;dsa|commission|x|desinformation;Chapitre 3 - p. 26;La procédure contre X concernait {{la diffusion de contenus haineux et de désinformation}}.;diffusion de contenus haineux et de désinformation|contenus haineux et désinformation;la diffusion de contenus haineux et de désinformation;la diffusion de contenus haineux et de désinformation|L’absence de droit voisin pour les éditeurs de presse dans Google Actualités|Le défaut de représentant légal de Telegram pour tout le marché européen|Le stockage temporaire de données dans un service de cache technique
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle demande la Commission a-t-elle adressée à X en janvier 2025 ?;Une demande de documents internes sur les algorithmes de recommandation;Une demande de licence pour les contenus de presse repris;Une demande de suppression du mécanisme de plaintes internes;Une demande de transfert du siège européen vers la Belgique;-;Le document présente une demande de documents internes à X sur ses algorithmes de recommandation en janvier 2025.;1;facile;dsa|commission|x|algorithmes;Chapitre 3 - p. 27;En janvier 2025, la Commission a demandé à X des documents internes sur {{les algorithmes de recommandation}}.;algorithmes de recommandation|les algorithmes de recommandation;les algorithmes de recommandation;les algorithmes de recommandation|Une demande de licence pour les contenus de presse repris|Une demande de suppression du mécanisme de plaintes internes|Une demande de transfert du siège européen vers la Belgique
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Pourquoi les algorithmes de recommandation de X étaient-ils examinés ?;Ils étaient soupçonnés de favoriser la diffusion de contenus problématiques;Ils étaient soupçonnés de rémunérer excessivement les éditeurs de presse;Ils étaient soupçonnés de bloquer tous les contenus signalés par erreur;Ils étaient soupçonnés de remplacer les coordinateurs nationaux;Pense à l’effet possible des recommandations.;Le document indique que les algorithmes étaient soupçonnés de favoriser la diffusion de contenus problématiques.;2;moyen;dsa|x|algorithmes|contenus-problematiques;Chapitre 3 - p. 27;Les algorithmes étaient examinés car ils pouvaient favoriser {{la diffusion de contenus problématiques}}.;diffusion de contenus problématiques|la diffusion de contenus problématiques;la diffusion de contenus problématiques;la diffusion de contenus problématiques|Ils étaient soupçonnés de rémunérer excessivement les éditeurs de presse|Ils étaient soupçonnés de bloquer tous les contenus signalés par erreur|Ils étaient soupçonnés de remplacer les coordinateurs nationaux
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle date limite était fixée à X pour fournir les documents demandés ?;Le 15 février 2025;Le 17 décembre 2024;Le 7 octobre 2023;Le 11 mars 2003;-;Le document indique que la demande officielle à X fixait une date limite au 15 février 2025.;1;facile;dsa|x|algorithmes|dates;Chapitre 3 - p. 27;La date limite fixée à X était {{le 15 février 2025}}.;15 février 2025|le 15 février 2025;le 15 février 2025;le 15 février 2025|Le 17 décembre 2024|Le 7 octobre 2023|Le 11 mars 2003
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que doit désigner chaque État membre au niveau national sous le DSA ?;Un Digital Services Coordinator;Un très grand moteur de recherche;Un titulaire de droits national;Un agrégateur de presse certifié;-;Le document explique que chaque État membre doit désigner un Digital Services Coordinator, ou coordinateur des services numériques.;1;facile;dsa|dsc|autorites-nationales;Chapitre 3 - p. 28;Chaque État membre doit désigner {{un Digital Services Coordinator}}.;Digital Services Coordinator|coordinateur des services numériques|DSC;un Digital Services Coordinator;un Digital Services Coordinator|Un très grand moteur de recherche|Un titulaire de droits national|Un agrégateur de presse certifié
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est le rôle d’un Digital Services Coordinator ?;Surveiller les prestataires établis sur son territoire, recevoir les plaintes et coopérer avec les autres DSC;Contrôler exclusivement les VLOPs au niveau européen et imposer les amendes mondiales;Créer les droits voisins des éditeurs et négocier les licences d’auteur;Publier les contenus des utilisateurs et gérer leurs comptes personnels;Revois les trois missions nationales.;Le DSC surveille les prestataires établis sur son territoire hors VLOPs, reçoit les plaintes et coopère horizontalement avec les autres DSC dans l’UE.;3;avancé;dsa|dsc|missions;Chapitre 3 - p. 28;Le DSC doit {{surveiller les prestataires, recevoir les plaintes et coopérer avec les autres DSC}}.;surveiller les prestataires, recevoir les plaintes et coopérer avec les autres DSC;surveiller les prestataires, recevoir les plaintes et coopérer avec les autres DSC;surveiller les prestataires, recevoir les plaintes et coopérer avec les autres DSC|Contrôler exclusivement les VLOPs au niveau européen et imposer les amendes mondiales|Créer les droits voisins des éditeurs et négocier les licences d’auteur|Publier les contenus des utilisateurs et gérer leurs comptes personnels
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle institution est le Coordinateur des services numériques en Belgique ?;L’IBPT;La Commission européenne;Google Search;L’EDSR;-;En Belgique, le rôle de Coordinateur des services numériques a été confié à l’IBPT.;1;facile;belgique|ibpt|dsc;Chapitre 3 - p. 28;En Belgique, le Coordinateur des services numériques est {{l’IBPT}}.;IBPT|l’IBPT|Institut belge des services postaux et des télécommunications;l’IBPT;l’IBPT|La Commission européenne|Google Search|L’EDSR
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Avec quelles autorités belges l’IBPT coopère-t-il selon le document ?;APD, FPS Économie et CSA;YouTube, TikTok et Instagram;OVH, Dropbox et Wordpress.com;Cloudflare, Akamai et CDN;-;Le document mentionne la coopération de l’IBPT avec l’APD, le FPS Économie et le CSA.;1;facile;belgique|ibpt|cooperation;Chapitre 3 - p. 28;L’IBPT coopère avec {{APD, FPS Économie et CSA}}.;APD, FPS Économie et CSA|APD FPS Économie CSA;APD, FPS Économie et CSA;APD, FPS Économie et CSA|YouTube, TikTok et Instagram|OVH, Dropbox et Wordpress.com|Cloudflare, Akamai et CDN
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle plateforme illustre l’intervention de l’IBPT comme coordinateur belge ?;Telegram;TikTok;X;Google News;-;Le document donne Telegram comme exemple notable d’intervention de l’IBPT.;1;facile;belgique|ibpt|telegram;Chapitre 3 - p. 29;L’exemple notable d’intervention de l’IBPT concerne {{Telegram}}.;Telegram|telegram;Telegram;Telegram|TikTok|X|Google News
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle obligation du DSA est au cœur de l’exemple Telegram ?;Désigner un représentant légal dans un État membre de l’UE;Créer un droit voisin pour les éditeurs de presse européens;Publier un rapport de transparence uniquement en Belgique;Obtenir une licence pour chaque message privé envoyé;Pense au représentant légal européen.;Dans l’exemple, les plateformes opérant en Europe doivent désigner un représentant légal dans un État membre de l’Union européenne.;2;moyen;dsa|telegram|representant-legal;Chapitre 3 - p. 29;Les plateformes opérant en Europe doivent {{désigner un représentant légal dans un État membre de l’UE}}.;désigner un représentant légal dans un État membre de l’UE|désigner un représentant légal dans l’UE;désigner un représentant légal dans un État membre de l’UE;désigner un représentant légal dans un État membre de l’UE|Créer un droit voisin pour les éditeurs de presse européens|Publier un rapport de transparence uniquement en Belgique|Obtenir une licence pour chaque message privé envoyé
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle entreprise belge Telegram a-t-elle choisie comme représentant légal ?;European Digital Services Representative;Institut belge des services postaux et des télécommunications;Autorité de protection des données;Fédération européenne des plateformes sociales;-;Le document indique que Telegram a choisi l’European Digital Services Representative comme représentant légal.;1;facile;telegram|edsr|representant-legal;Chapitre 3 - p. 29;Telegram a choisi {{European Digital Services Representative}} comme représentant légal.;European Digital Services Representative|EDSR;European Digital Services Representative;European Digital Services Representative|Institut belge des services postaux et des télécommunications|Autorité de protection des données|Fédération européenne des plateformes sociales
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle conséquence la désignation d’un représentant belge a-t-elle pour Telegram ?;Telegram est placé sous la supervision de l’IBPT pour l’ensemble du marché européen;Telegram est placé sous le contrôle exclusif de la Commission pour tous les contenus;Telegram devient automatiquement une plateforme belge sans obligation européenne;Telegram échappe au DSA pour les signalements réalisés hors Belgique;Regarde le rôle de l’IBPT après désignation belge.;La désignation d’un représentant légal belge place Telegram sous la supervision de l’IBPT pour l’ensemble du marché européen.;2;moyen;telegram|ibpt|supervision;Chapitre 3 - p. 29;La désignation belge place Telegram sous la supervision de l’IBPT pour {{l’ensemble du marché européen}}.;ensemble du marché européen|l’ensemble du marché européen;l’ensemble du marché européen;l’ensemble du marché européen|Telegram est placé sous le contrôle exclusif de la Commission pour tous les contenus|Telegram devient automatiquement une plateforme belge sans obligation européenne|Telegram échappe au DSA pour les signalements réalisés hors Belgique
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que peut faire un utilisateur européen si Telegram ne traite pas correctement un signalement ?;Déposer une plainte auprès de l’IBPT;Saisir uniquement Google Search;Demander une licence auprès de Telegram;Contacter exclusivement l’éditeur de presse;-;Le document précise qu’un utilisateur européen peut déposer une plainte auprès de l’IBPT si Telegram ne prend pas les mesures appropriées.;1;facile;telegram|ibpt|plainte;Chapitre 3 - p. 29;Si Telegram ne traite pas correctement un signalement, l’utilisateur peut déposer {{une plainte auprès de l’IBPT}}.;plainte auprès de l’IBPT|une plainte auprès de l’IBPT;une plainte auprès de l’IBPT;une plainte auprès de l’IBPT|Saisir uniquement Google Search|Demander une licence auprès de Telegram|Contacter exclusivement l’éditeur de presse
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Dans l’illustration, quel problème Sophie rencontre-t-elle ?;Un commentaire diffamatoire contenant ses données personnelles est publié sur une plateforme sociale;Une plateforme refuse de rémunérer un éditeur de presse pour un extrait d’article;Un service de caching ne respecte pas les normes de mise à jour technique;Un fournisseur d’accès modifie les données transmises sur le réseau;Pense au commentaire, à la diffamation et aux données personnelles.;L’illustration décrit Sophie, utilisatrice belge, confrontée à un commentaire diffamatoire contenant son adresse et son numéro de téléphone.;2;moyen;procedure|plainte|sophie;Chapitre 3 - p. 30;Sophie découvre un commentaire {{diffamatoire contenant ses données personnelles}}.;commentaire diffamatoire contenant ses données personnelles|diffamatoire contenant ses données personnelles;diffamatoire contenant ses données personnelles;diffamatoire contenant ses données personnelles|Une plateforme refuse de rémunérer un éditeur de presse pour un extrait d’article|Un service de caching ne respecte pas les normes de mise à jour technique|Un fournisseur d’accès modifie les données transmises sur le réseau
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle est la première étape obligatoire pour Sophie ?;Le signalement direct à la plateforme;La plainte immédiate devant la Commission européenne;L’action judiciaire directe sans notification préalable;La demande d’audit externe auprès des chercheurs agréés;-;L’étape 1 est le signalement direct à la plateforme, présenté comme obligatoire.;1;facile;procedure|sophie|signalement;Chapitre 3 - p. 30;La première étape obligatoire est {{le signalement direct à la plateforme}}.;signalement direct à la plateforme|le signalement direct à la plateforme;le signalement direct à la plateforme;le signalement direct à la plateforme|La plainte immédiate devant la Commission européenne|L’action judiciaire directe sans notification préalable|La demande d’audit externe auprès des chercheurs agréés
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel article du DSA impose un système de notice and action clair et accessible ?;L’article 16 DSA;L’article 20 DSA;L’article 33 DSA;L’article 6 DSA uniquement;-;L’illustration précise que l’article 16 DSA impose un système de notice and action clair et facilement accessible.;1;facile;dsa|article-16|notice-and-action;Chapitre 3 - p. 30;L’article qui impose un système notice and action clair et accessible est {{l’article 16 DSA}}.;article 16 DSA|l’article 16 DSA|16 DSA;l’article 16 DSA;l’article 16 DSA|L’article 20 DSA|L’article 33 DSA|L’article 6 DSA uniquement
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que doit préciser Sophie dans sa notification formelle à la plateforme ?;Le contenu visé, les raisons de son illicéité manifeste et ses coordonnées;Le chiffre d’affaires mondial de la plateforme et son rapport d’audit;La licence d’auteur applicable et la rémunération équitable demandée;Le nom du chercheur agréé et l’algorithme de recommandation utilisé;Regarde les trois éléments listés dans l’étape 1.;Sophie doit préciser le contenu visé, expliquer pourquoi il est manifestement illicite et fournir ses coordonnées.;2;moyen;procedure|sophie|notification;Chapitre 3 - p. 30;La notification de Sophie doit préciser {{le contenu visé, les raisons de son illicéité manifeste et ses coordonnées}}.;contenu visé, raisons d’illicéité manifeste et coordonnées|le contenu visé, les raisons de son illicéité manifeste et ses coordonnées;le contenu visé, les raisons de son illicéité manifeste et ses coordonnées;le contenu visé, les raisons de son illicéité manifeste et ses coordonnées|Le chiffre d’affaires mondial de la plateforme et son rapport d’audit|La licence d’auteur applicable et la rémunération équitable demandée|Le nom du chercheur agréé et l’algorithme de recommandation utilisé
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels éléments permettent d’identifier le contenu visé dans la notification de Sophie ?;Lien, capture d’écran et date;Nom du juge, numéro fiscal et licence;Rapport d’audit, algorithme et chiffre d’affaires;Contrat d’auteur, cession et rémunération;-;L’étape 1 cite le lien, la capture d’écran et la date comme éléments permettant d’identifier le contenu visé.;1;facile;procedure|sophie|preuves;Chapitre 3 - p. 30;Le contenu visé peut être précisé par {{un lien, une capture d’écran et une date}}.;lien, capture d’écran et date;un lien, une capture d’écran et une date;un lien, une capture d’écran et une date|Nom du juge, numéro fiscal et licence|Rapport d’audit, algorithme et chiffre d’affaires|Contrat d’auteur, cession et rémunération
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Pourquoi Sophie considère-t-elle le contenu manifestement illicite ?;Pour diffamation et atteinte à sa vie privée;Pour absence de licence d’auteur et droit voisin impayé;Pour défaut d’audit externe et risque systémique;Pour non-respect des normes de cache et analytics;-;Dans l’exemple, le contenu est manifestement illicite selon Sophie parce qu’il contient une diffamation et une atteinte à sa vie privée.;1;facile;procedure|sophie|illiceite;Chapitre 3 - p. 30;Sophie invoque {{la diffamation et l’atteinte à sa vie privée}}.;diffamation et atteinte à sa vie privée|diffamation + atteinte à sa vie privée;la diffamation et l’atteinte à sa vie privée;la diffamation et l’atteinte à sa vie privée|Pour absence de licence d’auteur et droit voisin impayé|Pour défaut d’audit externe et risque systémique|Pour non-respect des normes de cache et analytics
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle est la deuxième étape de la procédure de Sophie ?;Une réclamation auprès du Coordinateur des services numériques;Un audit externe obligatoire de la plateforme sociale;Une demande de licence auprès des titulaires de droits;Une plainte directe auprès des chercheurs agréés;-;L’étape 2 est une réclamation auprès du Coordinateur des services numériques.;1;facile;procedure|sophie|dsc;Chapitre 3 - p. 31;La deuxième étape est {{une réclamation auprès du Coordinateur des services numériques}}.;réclamation auprès du Coordinateur des services numériques|réclamation auprès du DSC;une réclamation auprès du Coordinateur des services numériques;une réclamation auprès du Coordinateur des services numériques|Un audit externe obligatoire de la plateforme sociale|Une demande de licence auprès des titulaires de droits|Une plainte directe auprès des chercheurs agréés
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels documents Sophie doit-elle fournir à l’IBPT ?;Preuve du signalement initial non traité, explication du préjudice subi et preuves du contenu illicite;Rapport d’audit externe, seuil d’utilisateurs actifs et documents internes d’algorithme;Contrat de cession de droits, licence d’éditeur et preuve de rémunération;Décision de la Commission, enquête TikTok et plainte contre X;Regarde les trois éléments exigés à l’étape 2.;Pour sa réclamation, Sophie doit fournir la preuve du signalement initial non traité, expliquer son préjudice et prouver le contenu illicite.;3;avancé;procedure|sophie|ibpt|preuves;Chapitre 3 - p. 31;Sophie doit fournir {{la preuve du signalement initial non traité, l’explication du préjudice subi et les preuves du contenu illicite}}.;preuve du signalement initial non traité, explication du préjudice subi et preuves du contenu illicite;la preuve du signalement initial non traité, l’explication du préjudice subi et les preuves du contenu illicite;la preuve du signalement initial non traité, l’explication du préjudice subi et les preuves du contenu illicite|Rapport d’audit externe, seuil d’utilisateurs actifs et documents internes d’algorithme|Contrat de cession de droits, licence d’éditeur et preuve de rémunération|Décision de la Commission, enquête TikTok et plainte contre X
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que peut faire l’IBPT après la plainte de Sophie ?;Enquêter, demander des informations, ordonner une mise en conformité ou transmettre à la Commission si VLOP/VLOSE;Créer un droit voisin, fixer une rémunération et imposer une licence de presse;Supprimer automatiquement le compte de Sophie et clore la plainte;Modifier directement les données publiées par la plateforme étrangère;Pense aux pouvoirs de l’IBPT et à la transmission possible.;L’IBPT peut enquêter sur la conformité, demander des informations, ordonner une mise en conformité et transmettre à la Commission si la plateforme est un VLOP ou VLOSE.;3;avancé;procedure|sophie|ibpt|pouvoirs;Chapitre 3 - p. 31;Après plainte, l’IBPT peut {{enquêter, demander des informations, ordonner une mise en conformité ou transmettre à la Commission}}.;enquêter, demander des informations, ordonner une mise en conformité ou transmettre à la Commission;enquêter, demander des informations, ordonner une mise en conformité ou transmettre à la Commission;enquêter, demander des informations, ordonner une mise en conformité ou transmettre à la Commission|Créer un droit voisin, fixer une rémunération et imposer une licence de presse|Supprimer automatiquement le compte de Sophie et clore la plainte|Modifier directement les données publiées par la plateforme étrangère
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel mécanisme interne est obligatoire pour les plateformes selon l’article 20 DSA ?;Un mécanisme interne de traitement des plaintes;Un mécanisme interne de fixation des licences de presse;Un mécanisme interne de choix des juges compétents;Un mécanisme interne de suppression des droits fondamentaux;-;Le document indique que l’article 20 DSA rend obligatoire un mécanisme interne de traitement des plaintes pour les plateformes.;1;facile;dsa|article-20|plaintes;Chapitre 3 - p. 32;L’article 20 DSA prévoit {{un mécanisme interne de traitement des plaintes}}.;mécanisme interne de traitement des plaintes|un mécanisme interne de traitement des plaintes;un mécanisme interne de traitement des plaintes;un mécanisme interne de traitement des plaintes|Un mécanisme interne de fixation des licences de presse|Un mécanisme interne de choix des juges compétents|Un mécanisme interne de suppression des droits fondamentaux
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel recours extrajudiciaire Sophie peut-elle utiliser ?;Un organisme de règlement extrajudiciaire des litiges certifié par l’IBPT;Un tribunal pénal étranger désigné par la plateforme;Un service de caching certifié par les auteurs;Un agrégateur de presse désigné par Google Actualités;Pense à l’ADR certifié.;Sophie peut recourir à un organisme de règlement extrajudiciaire des litiges certifié par l’IBPT.;2;moyen;procedure|sophie|adr|ibpt;Chapitre 3 - p. 32;Sophie peut recourir à {{un organisme de règlement extrajudiciaire des litiges certifié par l’IBPT}}.;organisme de règlement extrajudiciaire des litiges certifié par l’IBPT|ADR certifié par l’IBPT;un organisme de règlement extrajudiciaire des litiges certifié par l’IBPT;un organisme de règlement extrajudiciaire des litiges certifié par l’IBPT|Un tribunal pénal étranger désigné par la plateforme|Un service de caching certifié par les auteurs|Un agrégateur de presse désigné par Google Actualités
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est l’objectif des recours alternatifs prévus par le DSA ?;Offrir une voie rapide, gratuite ou peu coûteuse, et non judiciaire;Imposer une procédure lente, coûteuse et uniquement judiciaire;Remplacer toute modération par un filtrage généralisé obligatoire;Réserver les plaintes aux seules plateformes de plus de 45 millions d’utilisateurs;-;Le document indique que le DSA veut offrir une voie rapide, gratuite ou peu coûteuse, et non judiciaire.;1;facile;dsa|recours|objectif;Chapitre 3 - p. 32;L’objectif est d’offrir une voie {{rapide, gratuite ou peu coûteuse, et non judiciaire}}.;rapide, gratuite ou peu coûteuse, et non judiciaire;rapide, gratuite ou peu coûteuse, et non judiciaire;rapide, gratuite ou peu coûteuse, et non judiciaire|Imposer une procédure lente, coûteuse et uniquement judiciaire|Remplacer toute modération par un filtrage généralisé obligatoire|Réserver les plaintes aux seules plateformes de plus de 45 millions d’utilisateurs
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que peut faire Sophie si aucune solution amiable n’est trouvée ?;Intenter une action en cessation ou en responsabilité civile devant le tribunal compétent;Demander automatiquement à l’IBPT de supprimer le DSA;Utiliser uniquement le formulaire de signalement sans autre recours;Saisir un agrégateur de presse pour obtenir une rémunération;Pense à l’étape judiciaire.;Si aucune solution amiable n’est trouvée, Sophie peut introduire une action en cessation ou en responsabilité civile devant le tribunal compétent.;2;moyen;procedure|sophie|recours-judiciaire;Chapitre 3 - p. 32;Sans solution amiable, Sophie peut intenter {{une action en cessation ou en responsabilité civile}}.;action en cessation ou en responsabilité civile|une action en cessation ou en responsabilité civile;une action en cessation ou en responsabilité civile;une action en cessation ou en responsabilité civile|Demander automatiquement à l’IBPT de supprimer le DSA|Utiliser uniquement le formulaire de signalement sans autre recours|Saisir un agrégateur de presse pour obtenir une rémunération
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle sanction l’IBPT peut-il infliger si la plateforme ne respecte pas ses obligations légales ?;Une amende administrative;Une peine d’emprisonnement automatique;Une licence de droit d’auteur obligatoire;Un transfert forcé vers Google Search;-;Le document précise que l’IBPT peut infliger une amende administrative si la plateforme ne respecte pas ses obligations légales.;1;facile;procedure|ibpt|sanctions;Chapitre 3 - p. 32;L’IBPT peut infliger {{une amende administrative}}.;amende administrative|une amende administrative;une amende administrative;une amende administrative|Une peine d’emprisonnement automatique|Une licence de droit d’auteur obligatoire|Un transfert forcé vers Google Search
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels effets généraux du DSA sont mis en avant dans la conclusion ?;Moderniser les règles, harmoniser les pratiques et renforcer la protection des utilisateurs et les droits fondamentaux;Supprimer les règles, fragmenter les pratiques et réduire les droits fondamentaux;Remplacer le droit d’auteur, abolir les plateformes et limiter les plaintes;Créer des licences privées, supprimer la transparence et bloquer les chercheurs;Trois effets généraux sont listés.;La conclusion indique que le DSA modernise les règles de responsabilité, harmonise les pratiques dans l’UE et renforce la protection des utilisateurs et des droits fondamentaux.;3;avancé;conclusion|dsa|droits-fondamentaux;Chapitre 3 - p. 33;Le DSA {{modernise les règles, harmonise les pratiques et renforce la protection des utilisateurs et les droits fondamentaux}}.;modernise les règles, harmonise les pratiques et renforce la protection des utilisateurs et les droits fondamentaux;modernise les règles, harmonise les pratiques et renforce la protection des utilisateurs et les droits fondamentaux;modernise les règles, harmonise les pratiques et renforce la protection des utilisateurs et les droits fondamentaux|Supprimer les règles, fragmenter les pratiques et réduire les droits fondamentaux|Remplacer le droit d’auteur, abolir les plateformes et limiter les plaintes|Créer des licences privées, supprimer la transparence et bloquer les chercheurs
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel pilier du DSA repose sur des obligations différenciées selon le rôle et la taille du prestataire ?;La clarté juridique;La transparence algorithmique;La supervision renforcée;La protection des utilisateurs;-;Dans les piliers du DSA, la clarté juridique correspond à des obligations différenciées selon le rôle et la taille du prestataire.;1;facile;conclusion|dsa|clarte-juridique;Chapitre 3 - p. 33;La clarté juridique signifie des obligations différenciées selon {{le rôle et la taille du prestataire}}.;rôle et taille du prestataire|le rôle et la taille du prestataire;le rôle et la taille du prestataire;le rôle et la taille du prestataire|La transparence algorithmique|La supervision renforcée|La protection des utilisateurs
